x,y,score,color
5888,18688,0.8511995054334137,#f9ba38
5888,19200,0.8704636553449507,#c72803
5888,19712,0.8760386606392594,#970d01
5888,20224,0.8730459438314522,#b41b01
5888,20736,0.8754313404226491,#9d1001
5888,21248,0.8749951649035118,#a31201
5888,21760,0.8774075695504627,#8b0901
5888,22272,0.8756920172255869,#9a0e01
5888,22784,0.8760846574718637,#970d01
5888,23296,0.876303125007122,#940c01
5888,23808,0.8764429662987502,#940c01
5888,24320,0.8780428804458493,#840701
5888,24832,0.8759509752635066,#970d01
5888,25344,0.8744022463223707,#a61401
5888,25856,0.8743074922826196,#a91501
5888,26368,0.87187203994159,#be2102
5888,26880,0.8637797873693362,#ec520e
5888,27392,0.7857510429147134,#4666dd
6400,16640,0.8183760884604144,#20e9ac
6400,17152,0.875041801841497,#a01101
6400,17664,0.8375470878149713,#b3f835
6400,18688,0.8668753504282389,#dd3c07
6400,19200,0.8601810422069179,#f7711b
6400,19712,0.8778123704067946,#840701
6400,20224,0.8790305269218285,#7a0402
6400,20736,0.8787027676845581,#7a0402
6400,21248,0.8790201886424521,#7a0402
6400,21760,0.8765358235192318,#940c01
6400,22272,0.8771131546633464,#8e0a01
6400,22784,0.877886946186613,#840701
6400,23296,0.8779734585973146,#840701
6400,23808,0.8787875437231131,#7a0402
6400,24320,0.8780150949442418,#840701
6400,24832,0.8772668290908332,#8b0901
6400,25344,0.8778689657156125,#840701
6400,25856,0.8773198838042708,#8b0901
6400,26368,0.8742566628117393,#a91501
6400,26880,0.7877837721284213,#466de6
6400,27392,0.615590938360215,#30123b
6912,16128,0.8586444813968139,#fa7d20
6912,16640,0.8538042048699166,#fda631
6912,17152,0.8540629969612539,#fda330
6912,17664,0.8541337794070762,#fda330
6912,18176,0.8782347713126759,#810602
6912,18688,0.8699492997017451,#cb2b03
6912,19200,0.8730039053288515,#b41b01
6912,19712,0.8722618681224191,#b91e01
6912,20224,0.8795219186166159,#7a0402
6912,20736,0.878818843948522,#7a0402
6912,21248,0.8779769081827409,#840701
6912,21760,0.8784388968080746,#7d0502
6912,22272,0.8785623709006605,#7d0502
6912,22784,0.877758085791514,#870801
6912,23296,0.8793174862185235,#7a0402
6912,23808,0.8793134956256228,#7a0402
6912,24320,0.8785572381316569,#7d0502
6912,24832,0.8776496526313823,#870801
6912,25344,0.8774819236549758,#870801
6912,25856,0.8764070545041912,#940c01
6912,26368,0.8508573029279215,#f9bc39
6912,26880,0.7642663374789024,#372365
7424,15616,0.8714941390787224,#c02302
7424,16128,0.8711124293466919,#c32402
7424,16640,0.8564098802319807,#fd9229
7424,17152,0.8222923973640163,#35f394
7424,17664,0.828775128826722,#6dfd62
7424,18176,0.865746202189705,#e3440a
7424,18688,0.8766396115057203,#910b01
7424,19200,0.8776160883685974,#870801
7424,19712,0.8779439790710374,#840701
7424,20224,0.8785645851571537,#7d0502
7424,20736,0.8778110889088945,#840701
7424,21248,0.878813912652475,#7a0402
7424,21760,0.8775380130506731,#870801
7424,22272,0.8760536124242266,#970d01
7424,22784,0.8771191444760659,#8e0a01
7424,23296,0.8777354836187269,#870801
7424,23808,0.8795711817397169,#7a0402
7424,24320,0.8775094262274872,#870801
7424,24832,0.8765680157469222,#910b01
7424,25344,0.8752588927450928,#a01101
7424,25856,0.8743689711049092,#a91501
7424,26368,0.8679584323253003,#d73606
7424,26880,0.4242941059961171,#30123b
7936,15616,0.8226540105048694,#38f491
7936,16128,0.8718604032813734,#be2102
7936,16640,0.8546184304190302,#fea12f
7936,17152,0.8301801996204159,#7cfe56
7936,17664,0.8243936356233404,#46f783
7936,18176,0.8305319109603437,#7cfe56
7936,18688,0.85017102013992,#f8be39
7936,19200,0.8734762005019291,#ae1801
7936,19712,0.8757881699132996,#9a0e01
7936,20224,0.8771586087663507,#8b0901
7936,20736,0.8764340711012822,#940c01
7936,21248,0.875854219943521,#9a0e01
7936,21760,0.875513543905621,#9d1001
7936,22272,0.8750500540195584,#a01101
7936,22784,0.8747512490930933,#a31201
